,song,artist,peak,seasons,id,features
1,Easy On Me,Adele,1,{'fall'},0gplL1WMoJ6iYaPgMCL0gX,"{'danceability': 0.604, 'energy': 0.366, 'speechiness': 0.0282, 'instrumentalness': 0, 'tempo': 141.981, 'valence': 0.13}"
2,Stay,The Kid LAROI & Justin Bieber,1,"{'summer', 'fall'}",5fxyZf6m2xHeSrOzUfcJrq,"{'danceability': 0.564, 'energy': 0.506, 'speechiness': 0.0589, 'instrumentalness': 0.868, 'tempo': 170.054, 'valence': 0.454}"
3,Industry Baby,Lil Nas X & Jack Harlow,1,{'fall'},1XDippRYlOsUbopQ48h2hS,"{'danceability': 0.695, 'energy': 0.538, 'speechiness': 0.0687, 'instrumentalness': 0.863, 'tempo': 150.138, 'valence': 0.689}"
4,Fancy Like,Walker Hayes,3,{'fall'},58UKC45GPNTflCN6nwCUeF,"{'danceability': 0.647, 'energy': 0.765, 'speechiness': 0.06, 'instrumentalness': 0, 'tempo': 79.994, 'valence': 0.855}"
5,Bad Habits,Ed Sheeran,2,"{'summer', 'fall'}",3rmo8F54jFF8OgYsqTxm5d,"{'danceability': 0.807, 'energy': 0.893, 'speechiness': 0.0347, 'instrumentalness': 2.79e-05, 'tempo': 126.011, 'valence': 0.537}"
6,Way 2 Sexy,Drake Featuring Future & Young Thug,1,{'fall'},48QFNErdqMErv5bo03yXS0,"{'danceability': 0.803, 'energy': 0.495, 'speechiness': 0.202, 'instrumentalness': 0.881, 'tempo': 136.994, 'valence': 0.308}"
7,Shivers,Ed Sheeran,7,{'fall'},50nfwKoDiSYg8zOCREWAm5,"{'danceability': 0.788, 'energy': 0.859, 'speechiness': 0.0856, 'instrumentalness': 0, 'tempo': 141.02, 'valence': 0.822}"
8,Good 4 U,Olivia Rodrigo,1,{'spring'},4ZtFanR9U6ndgddUvNcjcG,"{'danceability': 0.563, 'energy': 0.664, 'speechiness': 0.154, 'instrumentalness': 0, 'tempo': 166.928, 'valence': 0.688}"
9,Need To Know,Doja Cat,9,{'fall'},3Vi5XqYrmQgOYBajMWSvCi,"{'danceability': 0.664, 'energy': 0.609, 'speechiness': 0.0707, 'instrumentalness': 0, 'tempo': 130.041, 'valence': 0.194}"
10,Levitating,Dua Lipa,3,{'summer'},5nujrmhLynf4yMoMtj8AQF,"{'danceability': 0.702, 'energy': 0.825, 'speechiness': 0.0601, 'instrumentalness': 0, 'tempo': 102.977, 'valence': 0.915}"
